City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Saldanha,ZA,76.78,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
99,Bambous Virieux,MU,84.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
101,Tabou,CI,83.97,clear sky,4.423,-7.3528,hotêl doufoulougou
102,Kavieng,PG,82.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
107,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
108,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
109,Key Largo,US,72.01,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
116,Luangwa,ZM,83.07,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
117,Barceloneta,PR,84.47,clear sky,18.4505,-66.5385,Manati World Point Inn
118,Castro,BR,80.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
124,Zamora,EC,76.24,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
125,Tual,ID,82.96,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
128,Diego De Almagro,CL,77.47,clear sky,-26.3667,-70.05,hotel luna del desierto
130,Plettenberg Bay,ZA,79.74,broken clouds,-34.0527,23.3716,Thanda Vista B&B
131,Umiray,PH,75.78,overcast clouds,15.2206,121.4111,The Chairmans Residence
134,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
136,Sibolga,ID,77.02,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
138,Port Alfred,ZA,78.89,clear sky,-33.5906,26.891,The Halyards Hotel
147,Savannah Bight,HN,80.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
150,Camopi,GF,84.29,overcast clouds,3.1655,-52.3158,La pousada
152,Yulara,AU,85.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
153,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
156,Avarua,CK,75.25,haze,-21.2078,-159.775,Paradise Inn
158,Pilar,BR,89.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
160,Ritchie,ZA,87.01,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
163,Grand Gaube,MU,84.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
165,Kismayo,SO,80.19,overcast clouds,-0.3582,42.5454,Agan-Hotel
166,Jizan,SA,83.34,few clouds,17.3333,42.6667,شهدان. ابوالحجر
167,Butaritari,KI,81.1,broken clouds,3.0707,172.7902,Isles Sunset Lodge
169,Sao Filipe,CV,75.15,scattered clouds,14.8961,-24.4956,Hotel Xaguate
170,Kavaratti,IN,79.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
173,Kruisfontein,ZA,85.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
175,Natitingou,BJ,87.85,clear sky,10.3042,1.3796,Auberge Centrale
176,Atar,MR,88.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
180,Prata,BR,88.25,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
195,Uige,AO,80.78,overcast clouds,-7.6087,15.0613,Hotel Catraio
198,Pemangkat,ID,78.21,scattered clouds,1.1667,108.9667,Ramah Kost KITA
202,Gawler,AU,73.47,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
204,Moree,AU,71.62,scattered clouds,-29.4667,149.85,Molika Springs Motel
219,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
222,Kudahuvadhoo,MV,81.09,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
223,Kawambwa,ZM,70.79,light rain,-9.7915,29.0791,Chembe Nsofu
