City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Sao Filipe,CV,14.8961,-24.4956,75.15,71,42,5.61,scattered clouds
170,Kavaratti,IN,10.5669,72.642,79.84,68,87,9.17,overcast clouds
171,Avera,US,33.194,-82.5271,33.75,87,22,8.19,few clouds
172,Riyadh,SA,24.6877,46.7219,55.54,18,0,4.61,clear sky
173,Kruisfontein,ZA,-34.0033,24.7314,85.89,45,30,24.0,scattered clouds
174,Cardston,CA,49.2,-113.3019,39.29,52,82,10.36,broken clouds
175,Natitingou,BJ,10.3042,1.3796,87.85,11,6,5.7,clear sky
176,Atar,MR,20.5169,-13.0499,88.0,12,100,20.04,overcast clouds
177,Ulaangom,MN,49.9811,92.0667,0.48,89,100,1.9,overcast clouds
178,Mezen,RU,65.8522,44.24,14.14,96,99,5.37,overcast clouds
179,Husavik,IS,66.0449,-17.3389,35.51,69,92,37.2,overcast clouds
180,Prata,BR,-19.3072,-48.9242,88.25,48,3,3.51,clear sky
181,Verdun,FR,49.25,5.3333,42.71,86,19,4.83,few clouds
182,Siderno,IT,38.2779,16.302,54.39,47,0,6.98,clear sky
183,Tessalit,ML,20.1986,1.0114,75.72,10,6,13.38,clear sky
184,Loralai,PK,30.3705,68.598,39.49,49,0,17.31,clear sky
185,Katsuura,JP,35.1333,140.3,45.19,66,82,3.62,broken clouds
186,Znamenka,RU,52.4167,41.4311,15.8,97,90,7.05,overcast clouds
187,Beibei,CN,29.8256,106.4339,53.24,90,100,2.24,overcast clouds
188,Berlevag,NO,70.8578,29.0864,25.03,86,100,29.37,overcast clouds
189,Yemtsa,RU,63.0734,40.3329,-1.37,99,70,2.68,broken clouds
190,Ypsonas,CY,34.6884,32.9574,58.17,63,40,16.11,scattered clouds
191,Lasa,IT,46.6166,10.7002,44.37,90,47,9.06,scattered clouds
192,Umm Lajj,SA,25.0213,37.2685,69.53,49,0,12.06,clear sky
193,Naze,JP,28.3667,129.4833,60.91,72,100,21.14,overcast clouds
194,Egvekinot,RU,66.3167,-179.1667,-12.44,96,100,17.29,snow
195,Uige,AO,-7.6087,15.0613,80.78,56,87,2.01,overcast clouds
196,Nanortalik,GL,60.1432,-45.2371,14.97,88,25,12.03,scattered clouds
197,Mehamn,NO,71.0357,27.8492,26.62,84,100,20.11,overcast clouds
198,Pemangkat,ID,1.1667,108.9667,78.21,87,50,6.44,scattered clouds
199,Sungaipenuh,ID,-2.0833,101.3833,65.79,97,95,1.52,light rain
200,Novochernorechenskiy,RU,56.2669,91.0828,-6.47,100,80,3.51,broken clouds
201,Tiksi,RU,71.6872,128.8694,-3.89,90,100,12.62,overcast clouds
202,Gawler,AU,-34.6,138.7333,73.47,88,100,10.63,overcast clouds
203,Zhangye,CN,38.9342,100.4517,24.44,45,30,1.5,scattered clouds
204,Moree,AU,-29.4667,149.85,71.62,68,40,9.22,scattered clouds
205,Wukari,NG,7.85,9.7833,96.35,10,12,8.63,few clouds
206,Luderitz,NA,-26.6481,15.1594,76.69,67,97,7.16,overcast clouds
207,Grindavik,IS,63.8424,-22.4338,33.75,86,75,37.98,broken clouds
208,Klaksvik,FO,62.2266,-6.589,49.12,84,100,41.47,overcast clouds
209,Teya,RU,60.3778,92.6267,0.25,100,100,2.13,overcast clouds
210,Mukhtolovo,RU,55.4644,43.1953,17.73,96,100,6.89,overcast clouds
211,Batagay,RU,67.6333,134.6333,-21.15,90,100,3.8,overcast clouds
212,Parkes,AU,-33.1333,148.1833,67.35,62,74,1.99,broken clouds
213,Jalu,LY,29.0331,21.5482,63.0,29,67,11.12,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,68.5,74,1,4.88,clear sky
215,Kajaani,FI,64.2273,27.7285,3.25,85,0,1.14,clear sky
216,Kodiak,US,57.79,-152.4072,36.91,93,75,9.22,broken clouds
217,Saint Anthony,US,45.0205,-93.218,10.45,66,0,5.01,clear sky
218,Airai,TL,-8.9266,125.4092,59.92,80,92,2.48,overcast clouds
219,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,70,2,8.21,clear sky
220,Aklavik,CA,68.2191,-135.0107,-6.77,77,100,10.36,light snow
221,Honningsvag,NO,70.9821,25.9704,30.04,82,100,30.69,overcast clouds
222,Kudahuvadhoo,MV,2.6708,72.8944,81.09,69,35,11.21,scattered clouds
223,Kawambwa,ZM,-9.7915,29.0791,70.79,81,69,3.8,light rain
224,Souillac,MU,-20.5167,57.5167,84.58,79,75,16.11,broken clouds
225,Lompoc,US,34.6391,-120.4579,57.13,79,0,6.91,clear sky
226,San Quintin,MX,30.4833,-115.95,54.36,83,0,3.11,clear sky
227,Berdigestyakh,RU,62.0989,126.6992,-1.66,98,100,5.1,overcast clouds
228,Svetlogorsk,BY,52.6333,29.7333,22.03,93,100,8.19,overcast clouds
229,Taldan,RU,53.6667,124.8,-10.68,97,10,3.83,clear sky
230,Turukhansk,RU,65.8167,87.9833,10.74,93,100,12.3,overcast clouds
231,Teahupoo,PF,-17.8333,-149.2667,75.16,78,100,19.77,overcast clouds
232,Chuy,UY,-33.6971,-53.4616,91.47,51,14,5.14,moderate rain
233,Hilo,US,19.7297,-155.09,67.24,84,0,0.0,clear sky
234,Siverek,TR,37.755,39.3167,27.21,89,100,3.98,overcast clouds
235,Koslan,RU,63.4564,48.8989,0.9,98,40,4.16,scattered clouds
236,Taoudenni,ML,22.6783,-3.9836,79.29,13,81,13.02,broken clouds
237,Tecpan,GT,14.7623,-90.9947,56.52,69,9,7.31,clear sky
238,Hienghene,NC,-20.6833,164.9333,75.72,88,19,4.54,few clouds
239,Port Moresby,PG,-9.4431,147.1797,74.62,94,75,4.61,broken clouds
240,Meulaboh,ID,4.1363,96.1285,78.84,81,12,2.53,few clouds
241,Wahlstedt,DE,53.95,10.2167,44.08,97,100,8.81,overcast clouds
242,Hendersonville,US,36.3048,-86.62,24.21,81,5,1.99,clear sky
243,Ilulissat,GL,69.2167,-51.1,-4.16,80,98,8.25,overcast clouds
244,Hargeysa,SO,9.56,44.065,67.64,57,100,15.66,overcast clouds
245,Bathsheba,BB,13.2167,-59.5167,83.01,54,20,21.85,few clouds
246,Nuevo Laredo,MX,27.4763,-99.5164,48.18,32,100,6.91,overcast clouds
247,Soavinandriana,MG,-19.1667,46.7333,61.11,99,100,2.62,moderate rain
248,Nieuw Amsterdam,SR,5.8833,-55.0833,84.36,90,75,5.75,broken clouds
249,Peniche,PT,39.3558,-9.3811,60.89,57,43,13.35,scattered clouds
250,Khatanga,RU,71.9667,102.5,13.15,93,100,14.47,light snow
251,Beloha,MG,-25.1667,45.05,80.46,67,38,18.57,scattered clouds
252,Bafq,IR,31.6128,55.4107,44.56,20,0,3.67,clear sky
253,Antofagasta,CL,-23.65,-70.4,71.22,60,38,11.1,scattered clouds
254,Castelo Branco,PT,39.8222,-7.4909,53.96,55,0,9.31,clear sky
255,Odweyne,SO,9.4092,45.064,74.05,41,89,16.33,overcast clouds
256,Lewisville,US,33.0462,-96.9942,34.48,59,0,1.01,clear sky
257,Orlik,RU,52.5178,99.825,6.46,98,100,1.28,overcast clouds
258,Tiznit,MA,29.5833,-9.5,73.99,17,99,21.59,overcast clouds
259,Mumford,GH,5.2618,-0.759,84.31,53,4,13.04,clear sky
260,Tucuman,AR,-26.8241,-65.2226,91.4,55,0,4.61,clear sky
261,Balabac,PH,7.9868,117.0645,80.47,79,100,10.6,overcast clouds
262,Kota Bahru,MY,6.1333,102.2386,78.75,83,20,5.01,few clouds
263,Luena,AO,-11.7833,19.9167,72.32,72,99,3.62,light rain
264,Trollhattan,SE,58.2333,12.4167,37.47,75,100,5.75,overcast clouds
265,Banda Aceh,ID,5.5577,95.3222,79.57,81,45,6.13,scattered clouds
266,Joensuu,FI,62.6012,29.7632,23.49,86,100,4.61,overcast clouds
267,Stromness,GB,58.965,-3.296,52.05,91,100,30.33,overcast clouds
268,Kropotkin,RU,45.4375,40.5756,29.43,94,100,1.07,snow
269,Komsomolskiy,UZ,40.4272,71.7189,38.62,75,75,11.5,broken clouds
270,Bosaso,SO,11.2842,49.1816,78.78,78,40,16.11,scattered clouds
271,Pacific Grove,US,36.6177,-121.9166,52.11,53,0,1.01,clear sky
272,Marovoay,MG,-16.1,46.6333,80.74,87,100,3.94,moderate rain
273,Srednekolymsk,RU,67.45,153.6833,-43.47,99,100,5.23,overcast clouds
274,Green River,US,41.5286,-109.4662,13.98,76,61,1.28,broken clouds
275,Saint George,US,37.1041,-113.5841,45.07,58,0,5.99,clear sky
276,Hithadhoo,MV,-0.6,73.0833,82.74,70,37,13.98,scattered clouds
277,San Patricio,US,28.017,-97.5169,45.84,50,51,14.54,broken clouds
278,Sovetskaya Gavan,RU,48.9723,140.2878,4.53,85,64,5.01,broken clouds
279,Sun Valley,US,39.5963,-119.776,36.16,74,20,0.0,few clouds
280,Lubao,PH,14.9167,120.55,81.14,84,79,5.1,broken clouds
281,Buique,BR,-8.6231,-37.1558,89.73,24,2,7.67,clear sky
282,Kerema,PG,-7.9631,145.7785,77.95,87,100,3.91,light rain
283,Batemans Bay,AU,-35.7167,150.1833,62.91,85,74,3.89,broken clouds
284,Lokosovo,RU,61.1333,74.8167,2.84,99,88,3.53,overcast clouds
285,Alekseyevsk,RU,57.8406,108.3492,-11.78,100,97,1.5,overcast clouds
286,Tapes,BR,-30.6733,-51.3958,92.53,51,18,7.56,few clouds
287,Atherton,GB,53.5237,-2.4935,46.9,84,100,1.99,overcast clouds
288,Mount Gambier,AU,-37.8333,140.7667,69.71,56,99,5.75,overcast clouds
289,Naron,ES,43.5167,-8.1528,58.05,47,0,4.32,clear sky
290,Nago,JP,26.5881,127.9761,68.07,80,100,18.9,light rain
291,Kaitangata,NZ,-46.2817,169.8464,50.0,89,13,7.16,few clouds
